name,month,day,hour,lat,long,status,wind,pressure,ts_diameter,hu_diameter
Arthur,7,1,0,27.7,-78.9,tropical depression,30,1008,0,0
Arthur,7,1,6,27.5,-79.1,tropical depression,30,1007,0,0
Arthur,7,1,12,27.5,-79.2,tropical storm,35,1005,46.0312,0
Arthur,7,1,18,27.7,-79.3,tropical storm,40,1003,115.07799999999999,0
Arthur,7,2,0,27.9,-79.2,tropical storm,45,999,126.58579999999999,0
Arthur,7,2,6,28.2,-79.1,tropical storm,50,995,126.58579999999999,0
Arthur,7,2,12,28.7,-79,tropical storm,55,995,126.58579999999999,0
Arthur,7,2,18,29.4,-79.1,tropical storm,60,994,149.60139999999998,0
Arthur,7,3,0,30.1,-79.2,hurricane,65,987,149.60139999999998,17.261699999999998
Arthur,7,3,6,30.9,-79.1,hurricane,70,984,149.60139999999998,17.261699999999998
Arthur,7,3,12,31.8,-78.8,hurricane,80,981,184.1248,23.0156
Arthur,7,3,18,32.9,-78.3,hurricane,80,978,218.64819999999997,57.538999999999994
Arthur,7,4,0,34,-77.3,hurricane,85,975,218.64819999999997,69.04679999999999
Arthur,7,4,3,34.7,-76.6,hurricane,85,973,218.64819999999997,69.04679999999999
Arthur,7,4,6,35.3,-76,hurricane,85,972,218.64819999999997,69.04679999999999
Arthur,7,4,8,35.8,-75.5,hurricane,85,973,218.64819999999997,69.04679999999999
Arthur,7,4,12,36.8,-74.4,hurricane,80,976,218.64819999999997,63.292899999999996
Arthur,7,4,18,38.4,-72.4,hurricane,70,978,253.17159999999998,80.5546
Arthur,7,5,0,40.2,-69.7,hurricane,65,976,253.17159999999998,103.57019999999999
Arthur,7,5,6,42.3,-67.6,tropical storm,60,981,253.17159999999998,0
Two,7,21,12,11.4,-41.6,tropical depression,30,1012,0,0
Two,7,21,18,11.6,-43.1,tropical depression,30,1012,0,0
Two,7,22,0,11.9,-44.4,tropical depression,30,1012,0,0
Two,7,22,6,12.1,-45.7,tropical depression,30,1012,0,0
Two,7,22,12,12.4,-47.2,tropical depression,30,1012,0,0
Two,7,22,18,12.8,-48.8,tropical depression,30,1012,0,0
Two,7,23,0,13.2,-50.4,tropical depression,30,1012,0,0
Two,7,23,6,13.7,-52.2,tropical depression,30,1012,0,0
Two,7,23,12,14,-55,tropical depression,30,1012,0,0
